,size,Group,Verse text
Matt 19:12,1,Evangelia,"Jsouť zajisté panicové, kteříž se tak z života matky zrodili; a jsouť panicové, kteříž učiněni jsou od lidí; a jsouť panicové, kteříž se sami v panictví oddali pro království nebeské. Kdo může pochopiti, pochop."
Matt 12:45,1,Evangelia,"Tehdy jde,"
Matt 6:10,1,Evangelia,"Přiď Království tvé. Buď vůle tvá, jako v Nebi, tak i na zemi."
Mark 2:5,1,Evangelia,"A Ježíš vida víru jejich, řekl ochrnulému: „Synu, odpouštějí se tobě hříchové tvoji.“"
Ps 51:3,1,Starý zákon,"Smiluj se nade mnou, Bože, podlé milosrdenství svého, podlé množství slitování svých shlaď přestoupení má."
Ps 50:3,1,Starý zákon,"Smiluj se nade mnou, Bože, podle velkého milosrdenství svého, a podle množství svých slitování zahlaď nepravost mou."
Matt 28:19,1,Evangelia,"Jděte tedy, získávejte všecky národy za učedníky, křtěte je ve jméno Otce i Syna i Ducha svatého,"
John 2:4,1,Evangelia,I dí jí ježíš: Co mně o tobě jest ženo? ještě nepřišla hodina má.
Gen 13:8,1,Starý zákon,"Řekl tedy Abram k Lotovi: Prosím, nechť není sváru mezi mnou, a tebou, a mezi pastýři mými, a pastýři tvými: nebo bratří jsme."
1Pet 3:18,1,Nový zákon,"Nebo i Kristus jedinou za hříchy trpěl, spravedlivý za nespravedlivé, aby nás přivedl k Bohu, umrtven jsa z strany těla, ale obživen Duchem."
Rom 4:21,1,Nový zákon,"a nabyl pevného přesvědčení, že Bůh jest mocen i učiniti, co slíbil."
Luke 3:6,1,Evangelia,a uzři všeliké tělo spaní Boží.
John 13:1,1,Evangelia,"Před svátkem pak velikonočním, věda Ježíš, že přišla hodina jeho, aby šel z tohoto světa k Otci, milovav své, kteříž byli na světě, až do konce je miloval."
1Sam 10:24,1,Starý zákon,"I řekl Samuel všemu lidu: Vidíte-li, koho vyvolil Hospodin, žeť mu není podobného ve všem lidu? Protož zkřikl všecken lid, a řekli: Živ buď král!"
2Sam 16:18,1,Starý zákon,"Chusaj Absalomovi odpověděl: „Nikoli, neboť toho budu a s tím zůstanu, koho vyvolil Hospodin, veškeren tento lid i všecek Israel."
Matt 13:25,1,Evangelia,"a když lidé spali, přišel jeho nepřítel, nasel koukole mezi pšenici a odešel."
Mark 10:9,1,Evangelia,"Nuže, co Bůh spojil, člověk nerozlučuj.“"
Gen 3:5,1,Starý zákon,"Ale ví Bůh, že v kterýkoli den z něho jísti budete, otevrou se oči vaše; a budete jako bohové, vědouce dobré i zlé."
John 14:6,1,Evangelia,Ježíš řekl jemu: „Já jsem cesta a pravda a život; nikdo nepřichází k Otci leč jen skrze mne.
Matt 19:17,1,Evangelia,"On pak řekl jemu: „Co se mě ptáš o dobrém? Jediný jest dobrý, (Bůh). Chceš-li však vejíti do života, zachovávej přikázání.“"
John 13:15,1,Evangelia,"Příklad zajisté dal sem vám, abyste jako sem já činil vám, i vy též činili."
Matt 6:24,1,Evangelia,"Nikdo nemůže dvěma pánům sloužiti; neboť buď bude jednoho nenáviděti a druhého milovati, aneb jednoho se přidrží a druhým pohrdne. Nemůžete Bohu sloužiti a mamoně."
Matt 7:16,1,Evangelia,"po ovocích jejich poznáte je. Zdaliž zbírají z trní hrozny, aneb z bodláčí fíky?"
John 16:23,1,Evangelia,"A v ten den nebudete se mne tázati o ničemž. Amen, amen pravím vám: Budete-li zač prositi Otce ve jménu mém, dáť vám."
Luke 22:48,1,Evangelia,"Ale Ježíš řekl jemu: „Jidáši, políbením zrazuješ Syna člověka?“"
Acts 26:2,1,Nový zákon,"„Za šťastného se pokládám, králi Agrippo, že mohu dnes hájiti se před tebou proti všemu tomu, z čeho mě židé obvinují,"
John 16:8,1,Evangelia,"A on když přijde, trestati bude svět z hříchu, a z spravedlnosti, a z soudu."
1Tim 2:4,1,Nový zákon,"Kterýž chce, aby všickni lidé spaseni byli, a k známosti pravdy přišli."
John 3:15,1,Evangelia,"Aby každý, kdož věří v něho, nezahynul, ale měl život věčný."
Rom 10:11,1,Nový zákon,"Neboť písmo praví: „Žádný, kdo v něho věří, nebude zahanben.“ "
Rom 2:6,1,Nový zákon,"Kterýž odplatí jednomu každému podlé skutků jeho,"
John 19:11,1,Evangelia,"Ježíš odpověděl: „Neměl bys nade mnou pražádné moci, kdyby ti nebyla dána shůry. Proto větší vinu má ten, kdo ti mě vydal.“"
Matt 6:13,1,Evangelia,A neuvoď nás v pokušení. Ale zbav nás od zlého. Amen.
Luke 22:19,1,Evangelia,"A vzav chléb, učinil díky a rozlámav jej, dal jim řka: „Toto jest tělo mé, které se za vás vydává; to čiňte na mou památku.“"
Luke 6:19,1,Evangelia,"A všecken zástup hledal se ho dotknouti; nebo moc z něho vycházela, a uzdravovala všecky."
John 8:46,1,Evangelia,"Kdo z vás bude mne trestati z hříchu? Jestli pravdu pravím vám, proč mi nevěříte?"
Luke 13:21,1,Evangelia,"Podobno jest kvasu, který vzavši žena zadělala do tří měřic mouky, až zkynulo všecko.“"
Rev 3:20,1,Nový zákon,"Aj stojím u dveří a tluku: jestliže kdo uslyší hlas můj, a otevře mi dvéře, vejdu-ť k němu: a budu-ť s ním večeřeti, a on se mnou."
Jer 2:13,1,Starý zákon,"– praví Hospodin – neboť dvojí zlo spáchal můj národ: Mne opustili, pramen vody živé, a kopali sobě cisterny, cisterny rozpukané, které nemohou držeti vody."
Mark 10:48,1,Evangelia,"I domlouvali mu mnozí, aby mlčel, ale on mnohem hlasitěji volal: „Synu Davidův, smiluj se nade mnou.“"
Matt 19:19,1,Evangelia,cti otce svého i matku svou a milovati budeš bližního svého jako sebe samého.“
Exod 20:14/Deut 5:18,1,Desatero,Nesesmilníš.
Luke 18:42,1,Evangelia,A Ježíš řekl jemu: Prohlédni. Víra tvá tě uzdravila.
Acts 4:20,1,Nový zákon,"nebť nemůžeme nemluviti toho, co sme viděli a slyšeli."
