,Source,Target,Value
859,Čech,Ps 78:20,1
860,Čech,Rom 15:4,1
861,Čech,Matt 25:37,1
865,Čech,Rom 15:6,1
867,Čech,Isa 35:4,3
869,Čech,Matt 11:5,3
871,Čech,1Cor 1:10,1
872,Čech,Col 3:1,1
874,Čech,Jas 4:6,1
876,Čech,Acts 2:3,2
881,Čech,Acts 7:56,1
887,Čech,Rom 8:38,1
888,Čech,John 1:3,1
889,Čech,John 1:7,1
890,Čech,Gen 49:10,1
894,Čech,Luke 18:20,3
897,Čech,Luke 9:7,1
899,Čech,John 14:2,1
901,Čech,Mark 9:2,1
907,Čech,Mic 1:2,1
910,Čech,Matt 11:25,2
913,Čech,Matt 26:49,1
914,Čech,Exod 34:21,2
916,Čech,Matt 5:21,1
919,Čech,Titus 3:5,2
922,Čech,John 4:38,1
923,Čech,Matt 20:31,2
927,Čech,Acts 3:6,1
928,Čech,Luke 16:2,5
929,Čech,Eccl 1:2,1
930,Čech,Deut 5:21,2
931,Čech,Matt 10:39,2
932,Čech,Matt 26:52,1
934,Čech,Isa 10:1,1
943,Čech,John 6:14,1
946,Čech,Gen 1:27,2
950,Čech,Jas 1:12,1
951,Čech,Judg 21:22,3
954,Čech,Luke 5:31,1
959,Čech,Matt 7:28,1
962,Čech,1Cor 7:24,1
975,Čech,Rom 12:2,3
977,Čech,1Cor 8:8,1
979,Čech,Matt 26:34,1
984,Čech,Ps 102:2,1
986,Čech,Acts 1:3,1
989,Čech,Luke 11:9,1
990,Čech,Luke 2:7,1
991,Čech,Matt 22:14,1
993,Čech,Isa 7:23,1
996,Čech,Matt 27:64,1
999,Čech,John 1:11,1
1000,Čech,Esth 6:4,1
1002,Čech,Luke 2:1,1
1010,Čech,Luke 12:4,1
1013,Čech,John 3:3,2
1014,Čech,Matt 13:37,1
1016,Čech,Luke 24:7,1
1017,Čech,Rom 1:15,1
1020,Čech,Mark 8:36,1
1023,Čech,Luke 6:25,1
1027,Čech,John 12:35,1
1029,Čech,Matt 2:20,4
1030,Čech,Matt 2:21,1
1032,Čech,Jer 51:39,1
1033,Čech,Jer 51:57,1
1035,Čech,Judg 18:26,1
1044,Čech,2Chr 9:1,1
1045,Čech,Deut 33:11,1
1046,Čech,1Sam 23:5,1
1051,Čech,Lev 19:4,1
1054,Čech,Esth 1:10,1
1058,Čech,Gal 5:22,1
1059,Čech,Dan 5:28,1
1061,Čech,Ps 3:8,1
1066,Čech,John 4:39,1
1067,Čech,1Cor 13:12,1
1068,Čech,1Cor 1:23,2
1070,Čech,Luke 14:10,1
1071,Čech,Mark 8:3,2
1076,Čech,Luke 14:14,1
1077,Čech,Matt 26:26,1
1078,Čech,2Sam 11:16,1
1079,Čech,Heb 4:12,1
1082,Čech,Rom 8:35,1
1094,Čech,1John 3:8,1
1096,Čech,John 5:29,1
1103,Čech,Tob 2:13,1
1106,Čech,Matt 9:17,1
1110,Čech,1Cor 11:24,1
1111,Čech,John 6:70,3
