,Source,Target,Value
277,Československý zemědělec,Mt 20:16,3
278,Československý zemědělec,Mt 6:11/L 11:3,5
279,Československý zemědělec,Ex 20:13/Dt 5:17,7
280,Český učitel,L 6:27,4
281,Český učitel,Mt 7:1,3
282,Český učitel,Z 2:9,4
283,Český učitel,L 18:42,3
284,Český učitel,L 20:25,3
285,Český učitel,L 18:20,13
286,Český učitel,Mt 19:18,15
287,Český učitel,Ex 20:13/Dt 5:17,15
288,Český učitel,Mk 10:14,3
289,Český učitel,R 9:30,8
290,Český učitel,L 10:27,3
291,Moravský večerník,L 3:4,8
292,Moravský večerník,Mk 1:3,10
293,Moravský večerník,Ex 20:15/Dt 5:19,5
294,Moravský večerník,Ef 6:2,8
295,Moravský večerník,Mk 15:34,4
296,Moravský večerník,Ex 20:13/Dt 5:17,38
297,Moravský večerník,R 9:30,11
298,Moravský večerník,L 18:42,7
299,Moravský večerník,Mt 6:11/L 11:3,3
300,Moravský večerník,Mt 6:12,5
301,Moravský večerník,Pr 26:27,11
302,Moravský večerník,L 21:6,5
303,Moravský večerník,Sk 10:47,3
304,Moravský večerník,Mt 5:38,11
305,Moravský večerník,L 2:14,6
306,Moravský večerník,Mt 12:45,3
307,Moravský večerník,Pr 12:10,3
308,Moravský večerník,1Pa 29:7,3
309,Moravský večerník,Ex 20:14/Dt 5:18,3
310,Moravský večerník,Sir 13:8,3
311,Moravský večerník,Mt 20:16,7
312,Moravský večerník,L 2:10,3
313,Moravský večerník,Mt 4:4,5
314,Moravský večerník,L 4:4,3
315,Moravský večerník,Mt 7:21,3
316,Moravský večerník,Mt 19:19,3
317,Moravský večerník,L 11:24,3
318,Polední list,Mt 6:12,3
319,Polední list,Ex 20:13/Dt 5:17,19
320,Polední list,Mt 5:38,8
321,Polední list,2Pa 19:11,4
322,Polední list,Mk 14:62,3
323,Polední list,R 9:30,3
324,Polední list,L 8:6,3
325,Posel záhrobní,Ex 20:13/Dt 5:17,14
326,Posel záhrobní,Mt 11:28,7
327,Posel záhrobní,Mt 11:30,3
328,Posel záhrobní,J 10:30,9
329,Posel záhrobní,L 6:27,4
330,Posel záhrobní,1K 3:16,4
331,Posel záhrobní,J 18:7,3
332,Posel záhrobní,Da 4:28,5
333,Posel záhrobní,Mt 22:39,6
334,Posel záhrobní,J 10:16,3
335,Posel záhrobní,J 3:7,3
336,Posel záhrobní,Mt 7:21,5
337,Posel záhrobní,L 18:42,5
338,Posel záhrobní,J 1:1,4
339,Posel záhrobní,Mk 13:31/Mt 24:35/L 21:33,3
340,Posel záhrobní,Mt 12:7,3
341,Posel záhrobní,Mt 6:33,4
342,Posel záhrobní,Mt 5:38,3
343,Posel záhrobní,Da 5:25,3
344,Posel záhrobní,L 2:14,4
345,Přítomnost,Ex 20:15/Dt 5:19,6
346,Přítomnost,Ex 20:13/Dt 5:17,39
347,Přítomnost,Mt 19:19,4
348,Přítomnost,R 9:30,5
349,Přítomnost,L 3:4,7
350,Přítomnost,Mk 1:3,7
351,Přítomnost,Mt 6:11/L 11:3,3
352,Přítomnost,Ef 6:2,3
353,Přítomnost,L 18:20,3
354,Přítomnost,Mt 22:39,3
355,Přítomnost,Ex 20:14/Dt 5:18,3
356,Přítomnost,Mt 5:38,10
357,Přítomnost,L 21:6,3
358,Přítomnost,J 1:1,8
359,Přítomnost,Mt 5:3,5
360,Přítomnost,L 8:8,3
361,Přítomnost,Mt 6:33,4
362,Přítomnost,Jr 10:23,3
363,Přítomnost,Mt 12:45,6
364,Přítomnost,1Tm 6:11,4
365,Přítomnost,Mt 5:37,3
