,size,Group,Verse text
Luke 21:28,1,Evangelia,"Když pak se to počne díti, pohleďte vzhůru a pozdvihněte hlav svých, neboť se přibližuje vykoupení vaše.“"
John 20:22,1,Evangelia,Po těch slovech na ně dechl a řekl jim: „Přijměte Ducha svatého!
Gen 2:18,1,Starý zákon,Hospodin Bůh také řekl: Není dobře člověku býti sám; učiňme mu pomocnici podobnou jemu.
Luke 10:27,1,Evangelia,"On odpověděv, řekl: Milovati budeš Pána Boha svého, z celého srdce svého, a z celé duše své, a ze vší síly své, i ze vší mysli své: a bližního svého jako sebe samého."
Luke 21:6,1,Evangelia,"„Přijdou dnové, ve kterých z toho, co vidíte, nezůstane kámen na kameni, který by nebyl rozbořen.“"
Jer 32:41,1,Starý zákon,"Bude mou radostí, když jim budu dobře činiti, a štípiti je budu v zemi této věrně, celým srdcem svým a celou duší svou."
Matt 10:37,1,Evangelia,"Kdo má rád otce nebo matku více než mne, není mne hoden; kdo má rád syna nebo dceru více než mne, není mne hoden;"
Matt 6:33,1,Evangelia,"Ale hledejte nejprv království Božího a spravedlnosti jeho, a toto vše bude vám přidáno."
1Cor 15:54,1,Nový zákon,"Když pak (toto porušitelné tělo obleče neporušítelnost a toto) smrtelné obleče nesmrtelnost, tehdá se naplní to slovo, které jest psáno: „Pohlcena jest smrt ve vítězství."
1Cor 15:55,1,Nový zákon,"Kde jest, ó smrti, vítězství tvé? Kde jest, ó smrti, osten tvůj?“"
Neh 9:17,1,Starý zákon,"A nechtěli slyšeti, a nerozpomenuli se na divné věci tvé kteréž si byl učinil jim. A zatvrdili šíje své, a dali hlavu aby se navrátili k službě své, jako skrze svár. Ty pak Bože milostivý, dobrotivý a milosrdný, dlouho čekající a mnohého smilování neopustil si jich,"
Exod 20:13/Deut 5:17,1,Desatero,Nezabiješ.
Luke 8:5,1,Evangelia,"Vyšel, kterýž rozsívá, aby rozsíval símě své: a když rozsívá jedno padlo podlé cesty: i pošlapáno jest, a ptáci nebeští zzobali je."
2Tim 2:9,1,Nový zákon,avšak slovo Boží není přivázáno.
2Tim 2:8,1,Nový zákon,"Pamatuj na Ježíše Krista, jenž jsa z potomstva Davidova, vstal z mrtvých podle evangelia mého, ve kterém snáším utrpení až do vazby jako zločinec;"
2Cor 11:23,1,Nový zákon,"Služebníky Kristovými jsou? Jako nesmyslný pravím: Já více. V prácech (jsem býval) přehojně, ve vězeních přehojně, v ranách nad míru, v nebezpečenství smrti častokrát."
Acts 2:2,1,Nový zákon,"Tu povstal náhle s nebe hukot, jako když táhne vítr silný, a naplnil dům, kde seděli;"
Acts 2:4,1,Nový zákon,"I naplněni jsou všickni Duchem svatým, a počali mluviti jinými jazyky, jakž ten Duch dával jim vymlouvati."
Acts 26:25,1,Nový zákon,"Ale Pavel řekl: „Neblázním, velmožný Feste, nýbrž mluvím slova pravdy a střízlivosti."
Luke 12:49,1,Evangelia,"„Oheň na zem pustit jsem přišel, a co chci (jiného), než aby se vznítil?"
