,size,Group,Verse text
Matt 7:21,1,21+,"Ne každý, kdož mi říká: Pane, Pane, vejde do království nebeského, ale ten, kdož činí vůli Otce mého, kterýž v nebesích jest."
Mark 13:31/Matt 24:35/Luke 21:33,1,21+,Nebe a země pominou: ale slova má nepominou.
Prov 26:27,1,21+,"Kdo (jinému) jámu kopá, (sám) do ní padá, a kdo valí kámen, bude ním zavalen."
John 6:9,1,3-5,"Jestiť mládenček jeden zde, kterýž má pět chlebů ječných a dvě rybičky. Ale coť jest to mezi tak mnohé?"
Matt 27:25,1,21+,"A odpověděv všecken lid, řekl: Krev jeho na nás, i na naše syny."
Matt 16:24,1,11-15,"Tehdy řekl Ježíš učedlníkům svým: Chce-li kdo za mnou přijíti, zapřiž sebe sám, a vezmi kříž svůj, a následúj mne."
Luke 13:7,1,3-5,"I řekl vinařovi: »Hle, již tři léta uplynula od té doby, co přicházím hledat ovoce na tomto fíku, ale nenalézám. Vysekni jej! Proč i tu zemi moří?«"
Luke 13:6,1,3-5,"Pověděl pak toto podobenství: „Kdosi měl fíkový strom štípený ve své vinici, i přišel hledat na něm ovoce, ale nenalezl."
Matt 13:29,1,3-5,"A on pravil: ,Ne, abyste snad trhajíce koukol, nevytrhali spolu s ním i pšenice."
Matt 13:24,1,3-5,"Jiné podobenství předložil jim řka: „Podobné jest království nebeské člověku, který nasel dobrého semene na poli svém;"
Matt 13:30,1,6-10,"Nechte ať obé spolu roste až do žně. A v čas žně dím žencům: Vytrhejte nejprv koukol a svažte jej v snopky k spálení, ale pšenici shromažďte do stodoly mé."
Luke 9:55,1,3-5,"Ale on obrátiv se, pokáral je řka: „Nevíte, čího ducha jste."
John 6:48,1,3-5,Jáť jsem Chléb života.
John 8:12,1,16-20,"Tu Ježíš mluvil k nim opět řka: „Já jsem světlo světa; kdo mě následuje, nebude choditi ve tmě, nýbrž bude míti světlo života.“"
John 11:25,1,16-20,"Řekl jí Ježíš: „Já jsem vzkříšení a život; kdo věří ve mne, byť i umřel, živ bude,"
Luke 11:23,1,3-5,"Kdo není se mnou, proti mně jest, a kdo neshromažďuje se mnou, rozptyluje."
Matt 12:30,1,6-10,"Kdož není se mnou, proti mně jest; a kdo neshromažďuje se mnou, rozptylujeť."
Matt 10:34,1,3-5,"„Nedomnívejte se, že jsem přišel uvésti pokoj na zem; nepřišel jsem uvésti pokoj, nýbrž meč."
Rom 13:14,1,3-5,ale oblečte se v Pána Ježíše Krista. A péče o tělo nemívejte podlé žádostí.
2Cor 1:2/Phil 1:2/2Thess 1:2/1Cor 1:3/Eph 1:2/Gal 1:3,1,21+,"Milost vám a pokoj od Boha, našeho Otce, a Pána Ježíše Krista, "
Matt 8:25,1,6-10,"I přistoupili k němu učeníci jeho a zbudili ho řkouce: „Pane, zachovej nás, hyneme.“"
John 6:56,1,6-10,"Kdo jí mé tělo a pije mou krev, ve mně přebývá a já v něm."
Matt 16:18,1,21+,"I já pravím tobě: Ty jsi Petr (t. j. skála), a na té skále vzdělám cirkev svou, a brány pekelné jí nepřemohou."
Matt 18:6,1,3-5,"„Kdo by však pohoršil jedno z maličkých těchto, kteří ve mne věří, tomu bylo by lépe, aby kámen mlýnský zavěšen byl na hrdlo jeho a on pohroužen byl do hlubokosti mořské.“"
Matt 23:37,1,3-5,"„Jerusaleme, Jerusaleme, který zabíjíš proroky a kamenuješ ty, kteří jsou posláni k tobě; kolikrát chtěl jsem shromážditi dítky tvé, jako slepice shromažďuje pod křídla kuřátka svá, a nechtěl jsi?"
John 20:23,1,3-5,"kterým odpustíte hříchy, odpouštějí se jim a kterým zadržíte, zadrženy jsou.“"
John 20:21,1,3-5,"Tu řekl jim opět: „Pokoj vám; jako mě poslal Otec, i já posílám vás.“"
Jas 2:8,1,3-5,"Jestliže pak plníte zákon královský podlé písma: Milovati budeš bližního svého, jako sebe samého, dobře činíte."
Luke 16:9,1,6-10,"I jáť pravím vám: Čiňte sobě přátely z mamony nepravosti, aby, když byste zhynuli, přijali vás do oněch věčných stanů."
Matt 22:42,1,11-15,„Co se vám zdá o Kristu? Čí jest syn? “Řkou jemu: „Davidův.“
Matt 6:9,1,16-20,"A protož vy takto se budete modliti: Otčenáš, jenž jsi na nebesích: posvěť se jméno tvé."
Luke 9:23,1,6-10,"A řekl ke všem: „Chce-li kdo za mnou přijíti, zapři sebe sám a vezmi kříž svůj každodenně a následuj mne."
Mark 12:30,1,6-10,a milovati budeš Pána Boha svého z celého srdce svého a z celé duše své a ze vší mysli své a ze vší síly své. To jest první přikázání.
1Cor 13:1,1,3-5,"Kdybych mluvil jazyky lidskými i andělskými, lásky však neměl, byl bych jako měd zvučící a jako zvonec znějící."
Rev 14:13,1,6-10,"I slyšel sem hlas z Nebe řvoucí ke mně: Piš: Blahoslavení mrtví, kteříž v pánu umírají. Již od této chvíle praví Duch, aby odpočinuli od prácí svých: nebo skutkové jejich následují jich."
