,verse,initial results,filtered stop-subverses,filtered multiple attributions,"""sure"" citations"
253,Lv 19:34,4,4,0,0
254,Lv 19:36,5,4,0,0
255,Lv 20:24,4,4,0,0
256,Lv 23:22,4,4,0,0
257,Lv 25:38,4,4,0,0
258,Lv 26:13,4,4,0,0
259,Nu 15:41,4,4,0,0
260,Sd 6:10,4,4,0,0
261,Z 81:11,2,2,0,0
262,Dt 6:15,2,2,0,0
263,Lv 19:25,4,4,0,0
264,Lv 23:43,4,4,0,0
265,Lv 26:1,5,5,1,0
266,Nu 10:10,4,4,0,0
267,Oz 12:9,2,2,0,0
268,1J 5:7,5,5,4,2
269,Tob 6:6,3,0,0,0
270,Mt 22:39,37,37,32,1
271,Mt 19:19,79,79,22,0
272,J 13:34,9,9,3,0
273,J 15:12,9,9,2,0
274,1Te 4:9,7,7,0,0
275,J 15:17,7,7,2,0
276,R 13:8,5,5,1,0
277,Tit 1:2,4,4,3,0
278,Mt 25:36,12,5,0,0
279,Mt 25:43,5,5,2,1
280,Mt 25:34,7,7,3,0
281,Mt 25:41,6,6,4,2
282,J 10:11,28,28,25,1
283,L 15:19,1,1,1,0
284,L 15:21,1,1,0,0
285,L 2:14,96,96,97,55
286,Ex 14:23,117,1,0,0
287,2S 10:17,9,0,0,0
288,Sd 1:5,9,0,0,0
289,Sd 11:25,25,0,0,0
290,Sk 9:4,9,9,9,3
291,Sk 22:7,9,9,0,0
292,Sk 26:14,9,5,0,0
293,1Kr 12:4,3,3,3,0
294,2Pa 10:4,1,1,1,0
295,2S 20:17,19,0,0,0
296,Gn 2:9,4,4,4,0
297,Ex 20:5,4,4,4,2
298,Est 5:2,36,0,0,0
299,Jr 8:4,5,1,1,0
300,Z 140:11,4,0,0,0
301,Jl 1:14,1,1,1,0
302,Bar 4:27,1,1,0,0
303,Sk 5:29,13,13,13,0
304,Gn 12:16,706,0,0,0
305,J 8:32,2,2,2,2
306,J 14:2,112,3,3,2
307,Sir 34:9,2,1,1,0
308,Z 44:18,72,0,0,0
309,Z 71:5,72,0,0,0
310,Z 76:9,72,0,0,0
311,Mt 4:11,3,3,3,1
312,Mt 4:3,3,3,2,1
313,Mt 4:6,5,5,1,1
314,L 4:12,6,6,5,0
315,Mt 4:7,4,4,3,0
316,Mt 4:10,6,6,3,1
317,L 4:8,5,5,0,0
318,Ga 3:10,1,1,1,0
319,J 4:23,3,3,2,1
320,J 4:22,2,2,1,0
321,J 4:21,2,2,1,1
322,J 4:24,3,3,3,2
323,L 19:46,7,7,7,0
324,Mk 11:17,3,3,2,0
325,Mt 21:13,2,2,0,0
326,L 11:43,1,1,1,0
327,Ef 6:13,3,3,2,0
328,Ef 6:14,3,3,2,1
329,Ef 6:16,1,1,1,1
330,Mt 24:38,2,0,0,0
331,L 17:27,3,0,0,0
332,Pl 3:6,3,0,0,0
333,Z 143:3,3,3,3,0
334,Z 28:9,1,1,1,0
335,J 5:37,23,0,0,0
336,Jb 19:19,29,1,1,0
337,Mt 11:28,43,43,40,0
338,Ko 2:8,3,0,0,0
339,Neh 2:6,19,0,0,0
340,2P 1:17,22,22,17,0
341,Mt 3:17,12,8,3,0
342,Mt 17:5,13,9,1,0
343,L 9:35,7,7,4,0
344,Mk 9:6,7,7,0,0
345,Ez 28:12,201,0,0,0
346,L 6:38,7,5,3,0
347,L 18:10,3,3,3,1
348,L 18:11,11,11,9,2
349,Nu 15:28,2,2,2,0
350,L 18:12,4,4,3,1
351,L 14:11,13,13,7,1
352,L 18:14,13,13,0,0
353,Mt 23:12,12,12,6,0
354,1K 9:27,1,1,1,0
355,Mt 6:12,32,32,30,6
356,Mt 6:11,54,54,0,0
357,L 11:3,54,54,0,0
358,Na 3:3,1,0,0,0
359,Dt 5:19,47,47,0,0
360,Ex 20:15,45,45,0,0
361,L 18:31,10,7,5,0
362,Mk 10:33,8,0,0,0
363,Mt 20:18,10,0,0,0
364,L 18:34,4,4,3,1
365,L 18:32,4,4,1,0
366,L 18:33,7,7,3,3
367,Mk 10:34,6,6,1,0
368,Mt 20:19,7,7,1,0
369,Mk 10:46,2,2,1,0
370,1Ma 3:44,20,0,0,0
371,Neh 7:3,64,0,0,0
372,Joz 2:19,4,0,0,0
373,Z 127:1,12,12,11,1
374,L 14:23,2,2,2,0
375,2Kr 4:25,4,0,0,0
376,Mk 16:16,10,10,9,0
377,L 5:1,2,2,0,0
378,Sk 13:44,2,2,2,0
379,1J 3:14,1,1,1,0
380,1J 3:15,2,2,2,0
381,1J 2:11,1,1,0,0
382,Pr 8:36,5,0,0,0
383,Sk 8:20,171,0,0,0
384,1Ma 6:54,2,0,0,0
385,2S 6:19,2,0,0,0
386,2S 20:22,2,0,0,0
387,Mt 6:23,1,1,1,1
388,Dt 5:16,37,37,0,0
389,Ef 6:2,37,37,34,0
390,Ex 20:12,37,37,0,0
391,L 18:20,69,69,22,0
392,Mk 7:10,39,38,1,0
393,Mk 10:19,68,68,0,0
394,Mt 15:4,37,37,0,0
395,L 9:58,55,2,1,0
396,Mt 8:20,55,2,2,0
397,J 1:14,20,20,16,2
398,Sk 26:10,2,0,0,0
399,Gn 3:19,21,20,19,0
400,L 20:25,49,49,42,0
401,Mt 22:21,26,26,14,4
402,Mk 12:17,17,17,1,0
403,R 13:1,7,7,5,0
404,Kaz 3:1,3,3,2,0
405,J 17:5,9,5,4,0
406,2Kr 3:21,28,0,0,0
407,1Ma 4:28,28,0,0,0
408,1Ma 4:41,29,0,0,0
409,Fm 1:24,145,0,0,0
410,J 1:45,1,1,1,0
411,Mt 7:21,33,33,25,7
412,R 9:30,199,0,0,0
413,J 6:5,2,2,2,0
414,L 21:33,29,29,0,0
415,Mk 13:31,30,30,0,0
416,Mt 24:35,30,30,0,0
417,Pr 26:27,36,36,36,0
418,Sir 27:29,36,36,0,0
419,Z 119:127,59,0,0,0
420,J 6:9,3,3,3,0
421,Ga 5:14,13,13,0,0
422,Mk 12:31,20,20,0,0
423,R 13:9,54,52,1,0
424,Jk 2:8,36,36,4,0
425,Tob 14:8,6,0,0,0
426,2Kr 22:3,1,1,1,0
427,1Kr 7:14,1,0,0,0
428,Jk 1:22,2,2,2,0
429,Mt 16:23,1,1,1,0
430,1K 15:33,1,1,1,0
431,2Kr 6:3,4,0,0,0
432,Sk 20:8,58,0,0,0
433,Mt 27:25,35,35,35,0
434,Zd 8:6,55,0,0,0
435,Jr 42:12,1,1,1,0
436,Ef 6:1,2,0,0,0
437,Mk 8:34,22,22,6,0
438,Mt 16:24,21,21,13,0
439,L 13:7,4,4,4,0
440,L 13:6,4,4,4,0
441,L 13:8,11,5,2,0
442,Mt 13:29,4,4,3,0
443,Mt 13:24,6,6,4,0
444,Mt 13:30,7,7,7,3
445,Mt 13:25,7,7,6,1
446,L 9:55,4,4,4,0
447,Z 7:5,6,0,0,0
448,L 1:43,3,0,0,0
449,J 6:35,3,3,0,0
450,J 6:48,3,3,3,3
451,J 8:12,19,19,17,6
452,J 11:25,22,22,19,2
453,L 11:23,12,12,4,0
454,Mt 12:30,12,12,10,0
455,Mt 10:34,3,3,3,0
456,L 12:51,1,1,1,0
457,Sk 16:31,8,8,3,0
458,1K 1:3,14,1,0,0
459,2K 1:2,14,1,0,0
460,2Te 1:2,24,11,0,0
461,2Te 1:12,14,0,0,0
462,Ef 1:2,14,1,0,0
463,Ef 6:23,14,0,0,0
464,Fp 1:2,14,1,0,0
465,Ko 1:3,16,3,0,0
466,R 1:7,24,11,0,0
467,R 13:14,5,5,3,0
468,Fm 1:3,14,1,0,0
469,R 13:13,6,6,3,0
470,Iz 7:20,9,0,0,0
471,2S 18:33,1,1,1,0
472,Mt 8:25,10,10,10,0
473,Ez 45:9,8,3,1,1
474,L 8:10,2,2,2,0
475,J 6:40,4,4,0,0
476,J 6:55,9,9,1,0
477,J 6:44,4,4,0,0
478,J 6:54,16,16,8,0
479,J 6:56,8,8,6,2
480,J 6:57,8,8,2,2
481,Mt 16:18,50,50,49,0
482,Jr 26:21,1,1,1,0
483,Mk 9:41,2,2,1,1
484,Mt 18:6,6,6,5,0
485,Mt 18:7,12,12,9,0
486,Mt 23:34,2,2,2,0
487,L 13:34,9,7,2,0
488,Mt 23:37,7,7,3,1
489,1K 11:22,1,1,1,0
490,J 20:21,4,4,3,0
491,J 20:31,2,2,1,0
492,Mt 18:10,9,9,1,0
493,Mt 18:19,9,9,0,0
494,L 16:9,7,7,7,0
495,Mt 22:42,15,15,15,0
496,2Te 2:14,2,0,0,0
497,1K 11:2,6,3,0,0
498,J 14:15,2,2,2,2
499,Mt 10:10,1,1,1,0
500,Mk 1:15,3,3,2,0
501,L 9:23,9,9,6,0
502,Mt 19:21,8,8,2,1
503,L 9:3,3,3,1,0
504,Mt 22:37,13,13,4,0
505,Mk 12:30,22,21,10,0
506,2Pa 15:12,11,11,3,0
507,Dt 30:2,12,11,0,0
508,Mt 22:38,3,3,2,2
509,1K 13:1,8,8,4,2
510,Ko 1:16,25,0,0,0
511,Neh 6:6,8,0,0,0
512,Mt 5:44,19,18,2,2
513,R 12:14,179,0,0,0
514,L 6:27,20,20,17,0
515,2Kr 18:10,19,0,0,0
516,J 1:23,17,17,4,0
517,Iz 59:13,3,0,0,0
518,2Kr 21:9,6,0,0,0
519,Jud 3:3,185,0,0,0
520,Mt 6:19,3,3,2,1
521,Mt 6:20,3,3,2,0
522,Zj 14:13,10,10,7,0
523,Dt 28:4,5,5,1,0
524,L 1:42,12,8,4,0
525,Jr 41:10,12,0,0,0
526,1P 3:19,14,0,0,0
527,Sir 47:12,4,0,0,0
528,1K 10:23,2,2,2,0
529,Z 55:13,2,0,0,0
530,Jr 8:6,3,0,0,0
531,L 2:30,6,6,4,4
532,L 2:32,4,4,2,0
533,L 2:34,13,12,11,0
534,J 14:9,6,6,5,1
535,2S 3:20,1,1,1,0
536,J 16:16,12,12,5,1
537,J 16:17,13,13,3,1
538,J 16:19,11,11,4,0
539,1J 5:4,1,1,1,0
540,J 17:8,2,2,0,0
541,Mt 14:31,3,1,1,0
542,J 17:4,3,3,1,0
543,J 21:9,19,0,0,0
544,1S 25:39,34,0,0,0
545,1Tm 1:11,19,0,0,0
546,Mt 15:32,10,10,1,0
547,Zd 4:7,71,6,0,0
548,1S 14:4,115,0,0,0
549,Mk 16:20,141,1,1,0
550,1K 13:2,9,9,4,0
551,Z 118:47,3,0,0,0
552,Ef 4:4,12,12,12,0
553,1Kr 18:8,4,0,0,0
554,Za 5:11,5,0,0,0
555,Mou 19:9,12,0,0,0
556,1Tm 6:11,15,12,12,0
557,Ex 30:4,360,0,0,0
558,Sd 7:5,389,0,0,0
559,L 11:17,6,6,6,0
560,Mt 12:25,7,7,2,0
561,L 5:8,2,2,1,0
562,Mt 14:28,1,1,1,0
563,Mou 18:2,156,0,0,0
564,Jr 13:23,1,0,0,0
565,2Pa 21:9,92,0,0,0
566,Ga 2:20,8,8,7,1
567,1J 2:15,4,1,1,1
568,Mk 16:17,12,4,4,0
569,Sd 11:32,28,0,0,0
570,Gn 43:33,1,0,0,0
571,Sir 14:15,11,0,0,0
572,Mt 18:28,8,1,1,0
573,Mt 18:26,3,2,2,0
574,Mt 18:29,3,2,2,0
575,Mt 18:35,3,3,3,1
576,Gn 38:1,12,0,0,0
577,Iz 58:3,1,1,0,0
578,Tob 10:4,1,1,1,0
579,J 11:34,7,7,7,0
580,R 11:3,2,1,1,0
581,Gn 50:15,12,1,1,0
582,Dt 28:14,11,0,0,0
583,Mk 1:40,3,3,2,0
584,L 5:12,3,3,0,0
585,Mt 8:2,3,3,0,0
586,Zj 22:5,2,0,0,0
587,L 24:26,7,7,7,0
588,1S 1:13,2,0,0,0
589,Mt 11:29,22,22,20,0
590,Jr 42:16,1,0,0,0
591,Mk 10:23,14,14,8,0
592,J 3:30,2,2,2,2
593,Mk 1:7,6,6,3,0
594,Zd 10:37,13,13,3,0
595,L 7:19,10,10,0,0
596,L 7:20,10,10,0,0
597,Mt 11:3,10,10,10,0
598,Mk 15:34,23,22,18,0
599,Mt 27:46,27,27,22,1
600,Fp 4:16,12,4,4,0
601,Ez 32:25,32,0,0,0
602,Jr 49:35,22,2,2,0
603,Z 41:5,10,0,0,0
604,Kaz 2:10,1,0,0,0
605,Iz 5:19,7,0,0,0
606,J 16:12,7,3,3,2
607,Sd 19:12,3,0,0,0
608,Jr 48:27,1,0,0,0
609,L 10:16,13,13,11,7
610,Mk 16:15,4,4,2,0
611,Sd 15:2,4,0,0,0
