,size,Group,Verse text
Ps 127:1,1,6-10,"Píseň stupňů, Šalomounova. Nebude-li Hospodin stavěti domu, nadarmo usilují ti, kteříž stavějí jej; nebude-li Hospodin ostříhati města, nadarmo bdí strážný."
Mark 16:16,1,6-10,"Kdo uvěří a bude pokřtěn, bude spasen; kdo neuvěří, bude odsouzen."
Eph 6:2,1,20+,"„Cti otce svého i matku svou“, to jest první přikázání se zaslíbením,"
John 1:14,1,11-15,"A Slovo Tělem učiněno jest, a přebývalo mezi námi: a viděli sme slávu jeho, slávu jakožto jednorozeného od Otce, plného milosti a pravdy."
Gen 3:19,1,16-20,"V potu tváře jísti budeš chléb, dokud se nevrátíš do země, ze které jsi vzat. Ano, prach jsi, a v prach se navrátíš."
Matt 22:21,1,11-15,"Řkou jemu: „Císařův.“ Tu řekl jim: „Dávejte tedy, co jest císařovo, císaři, a co jest Božího, Bohu.“"
Matt 7:21,1,20+,"Ne každý, kdož mi říká: Pane, Pane, vejde do království nebeského, ale ten, kdož činí vůli Otce mého, kterýž v nebesích jest."
Rom 9:30,1,20+,"Co z toho plyne? Že se pohanům, ač neusilovali o spravedlnost, dostalo spravedlnosti, spravedlnosti z víry,"
Prov 26:27,1,20+,"Kdo (jinému) jámu kopá, (sám) do ní padá, a kdo valí kámen, bude ním zavalen."
Matt 27:25,1,20+,"A odpověděv všecken lid, řekl: Krev jeho na nás, i na naše syny."
Matt 16:24,1,6-10,"Tehdy řekl Ježíš učedlníkům svým: Chce-li kdo za mnou přijíti, zapřiž sebe sám, a vezmi kříž svůj, a následúj mne."
Matt 13:24,1,3-5,"Jiné podobenství předložil jim řka: „Podobné jest království nebeské člověku, který nasel dobrého semene na poli svém;"
Matt 13:30,1,3-5,"Nechte ať obé spolu roste až do žně. A v čas žně dím žencům: Vytrhejte nejprv koukol a svažte jej v snopky k spálení, ale pšenici shromažďte do stodoly mé."
Luke 9:55,1,3-5,"Ale on obrátiv se, pokáral je řka: „Nevíte, čího ducha jste."
John 6:48,1,3-5,Jáť jsem Chléb života.
John 8:12,1,11-15,"Tu Ježíš mluvil k nim opět řka: „Já jsem světlo světa; kdo mě následuje, nebude choditi ve tmě, nýbrž bude míti světlo života.“"
John 11:25,1,16-20,"Řekl jí Ježíš: „Já jsem vzkříšení a život; kdo věří ve mne, byť i umřel, živ bude,"
Luke 11:23,1,3-5,"Kdo není se mnou, proti mně jest, a kdo neshromažďuje se mnou, rozptyluje."
Matt 12:30,1,6-10,"Kdož není se mnou, proti mně jest; a kdo neshromažďuje se mnou, rozptylujeť."
Matt 8:25,1,6-10,"I přistoupili k němu učeníci jeho a zbudili ho řkouce: „Pane, zachovej nás, hyneme.“"
John 6:56,1,3-5,"Kdo jí mé tělo a pije mou krev, ve mně přebývá a já v něm."
Matt 16:18,1,20+,"I já pravím tobě: Ty jsi Petr (t. j. skála), a na té skále vzdělám cirkev svou, a brány pekelné jí nepřemohou."
John 20:23,1,3-5,"kterým odpustíte hříchy, odpouštějí se jim a kterým zadržíte, zadrženy jsou.“"
Luke 16:9,1,6-10,"I jáť pravím vám: Čiňte sobě přátely z mamony nepravosti, aby, když byste zhynuli, přijali vás do oněch věčných stanů."
Matt 22:42,1,11-15,„Co se vám zdá o Kristu? Čí jest syn? “Řkou jemu: „Davidův.“
Matt 6:9,1,11-15,"A protož vy takto se budete modliti: Otčenáš, jenž jsi na nebesích: posvěť se jméno tvé."
Luke 9:23,1,3-5,"A řekl ke všem: „Chce-li kdo za mnou přijíti, zapři sebe sám a vezmi kříž svůj každodenně a následuj mne."
Mark 12:30,1,3-5,a milovati budeš Pána Boha svého z celého srdce svého a z celé duše své a ze vší mysli své a ze vší síly své. To jest první přikázání.
2Cor 1:2/Phil 1:2/2Thess 1:2/1Cor 1:3/Eph 1:2/Gal 1:3,1,6-10,"Milost vám a pokoj od Boha, našeho Otce, a Pána Ježíše Krista, "
Rev 14:13,1,6-10,"I slyšel sem hlas z Nebe řvoucí ke mně: Piš: Blahoslavení mrtví, kteříž v pánu umírají. Již od této chvíle praví Duch, aby odpočinuli od prácí svých: nebo skutkové jejich následují jich."
